Title,Institution,Profile,Memory,Planning,Action,Capability Acquition,Social science,Natural Science,Engineering,Subjective,Objective,Benchmark,Release Date,Publication,Code,Paper
Emotionally Numb or Empathetic? Evaluating How LLMs Feel Using EmotionBench,The Chinese University of Hong Kong,,,,,,,,,Human Annotation,,w/ Benchmark,2023-08-07,arxiv,GitHub - CUHK-ARISE/EmotionBench,[2308.03656] Emotionally Numb or Empathetic? Evaluating How LLMs Feel Using EmotionBench (arxiv.org)
EduChat,"East China Normal University,Fudan University",Handcrafting,,,w/ Tools,,,Science Education,,,,,2023-08-05,arxiv,"GitHub - icalk-nlp/EduChat: An open-source educational chat model from ICALK, East China Normal University. 开源中英教育对话大模型。(通用基座模型，GPU部署，数据清理) 致敬: LLaMA, MOSS, BELLE, Ziya, vLLM",[2308.02773] EduChat: A Large-Scale Language Model-based Chatbot System for Intelligent Education (arxiv.org)
Tidybot,"Columbia University,Google,Princeton University,Stanford University",,,w/o Feedback,w/ Tools,,,,Robotics & Embodied AI,,Multi-task Evaluation,w/ Benchmark,2023-05-09,arxiv,GitHub - jimmyyhwu/tidybot: TidyBot: Personalized Robot Assistance with Large Language Models,[2305.05658] TidyBot: Personalized Robot Assistance with Large Language Models (arxiv.org)
SimplyRetrieve,,,"Hybrid,Read/Write",,w/ Tools,,,,,,Multi-task Evaluation,,2023-08-08,arxiv,"GitHub - RCGAI/SimplyRetrieve: Lightweight chat AI platform featuring custom knowledge, open-source LLMs, prompt-engineering, retrieval analysis. Highly customizable. For Retrieval-Centric & Retrieval-Augmented Generation.",[2308.03983] SimplyRetrieve: A Private and Lightweight Retrieval-Centric Generative AI Tool (arxiv.org)
LLM As DBA,Tsinghua University,Handcrafting,"Hybrid,Read/Write",w/ Feedback,w/ Tools,,,,CS&SE,,,,2023-08-10,arxiv,GitHub - TsinghuaDatabaseGroup/DB-GPT,[2308.05481] LLM As DBA (arxiv.org)
LLMFlows,,,,,,,,,,,,,2023-06-26,Github,http://github.com/stoyan-stoyanov/llmflows,
Improving Factuality and Reasoning in Language Models through Multiagent Debate ,"Brain Team,Google Research,Massachusetts Institute of Technology",,Unified,w/ Feedback,w/o Tools,,,,,,Isolated Reasoning,w/ Benchmark,2023-05-23,arxiv,https://composable-models.github.io/llm_debate/,https://arxiv.org/abs/2305.14325
LLM-Planner,The Ohio State University,,,w/ Feedback,,,,,Robotics & Embodied AI,,,w/ Benchmark,2023-03-30,arxiv,https://dki-lab.github.io/LLM-Planner/,https://arxiv.org/abs/2212.04088
LangChain,,,,,w/ Tools,,,,General Autonomous Agents,,,,2022-10-01,Github,https://docs.langchain.com/docs/,
To Infinity and Beyond,,,,,,,,,,,,,2023-07-24,Github,https://fablestudio.github.io/showrunner-agents,
